feature,importance
story_points_completed,0.030313705670124147
peer_feedback_score,0.013207447390182684
kudos_count,0.013167771112027013
manager_score,0.009682088459514682
on_time_delivery_rate,0.009485116895492732
billable_hours_ratio,0.00921067590005605
gender,0.007288193814067904
job_level,0.006840264764568745
avg_login_hours,0.005723481063314402
unplanned_absences,0.005156294965819486
overtime_hours_monthly,0.004027519141542424
department,0.0035936530608345154
qa_defect_density,0.000133638651960033
internal_hackathons_participated,-0.0017178762669906034
training_hours,-0.0021386523021571144
promotions_in_2y,-0.002210441995169251
last_promotion_years_ago,-0.002975690475147378
projects_count,-0.003860836051633639
education_level,-0.005149072517425394
certifications_count,-0.007414984521983932
sick_days,-0.008946568689330156
salary_percentile_band,-0.00901321015523271
avg_task_delay_days,-0.010851913481626285
code_review_score,-0.01102715947102543
bug_count,-0.012015572896334223
engagement_score,-0.01240306752003891
manager_tenure,-0.013478683619500775
salary_lpa,-0.033557180172240186
experience_years,-0.038760250839493526
age,-0.04264302752030421
